                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.2896,                 1.4156,                 1.6451,                0.62868,                0.49738,                0.52589,                 0.2924,                 1.5845,                 1.6548,                  1.919,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.2996,                 1.4062,                 1.6401,                0.60074,                0.50524,                0.52403,                 0.3118,                  1.541,                 1.5953,                 1.9391,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.2946,                 1.3954,                 1.6406,                0.61095,                 0.4712,                0.52741,                0.30383,                 1.5869,                 1.6541,                 1.9482,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.2574,                 1.3321,                 1.6314,                 0.6355,                0.51117,                0.52589,                0.31044,                 1.5683,                 1.5961,                 1.9476,               0.001373,               0.001373,               0.001373
                     98,                 1.2853,                 1.3944,                 1.6412,                0.66935,                0.50873,                0.55173,                0.31562,                 1.5913,                 1.5753,                 1.9898,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.3149,                 1.4376,                 1.6544,                0.64209,                0.47434,                0.52121,                0.30313,                  1.596,                 1.6145,                 1.9838,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.2497,                 1.3727,                 1.6296,                0.65723,                0.46859,                0.53821,                  0.321,                 1.5627,                 1.5774,                 1.9263,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.2831,                 1.3617,                 1.6291,                0.64167,                0.51566,                0.52852,                 0.3094,                 1.6179,                 1.5785,                 2.0017,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.2641,                 1.3814,                 1.6356,                0.65851,                0.51309,                0.55794,                0.33157,                 1.5526,                  1.528,                 1.9114,                0.00134,                0.00134,                0.00134
                    103,                 1.2744,                 1.3711,                  1.636,                0.61353,                0.48953,                0.52236,                0.31153,                 1.5666,                 1.6056,                 1.9157,              0.0013334,              0.0013334,              0.0013334
                    104,                 1.2538,                 1.3222,                 1.6219,                 0.6152,                0.49805,                0.53095,                0.31396,                 1.5725,                 1.6007,                 1.9257,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.2656,                 1.3648,                 1.6175,                0.65235,                 0.4712,                0.53933,                0.31364,                  1.548,                 1.5799,                 1.8936,              0.0013202,              0.0013202,              0.0013202
                    106,                 1.2578,                 1.3482,                 1.6373,                0.56055,                0.51309,                0.52617,                0.30825,                 1.5528,                 1.6226,                 1.9237,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.2463,                 1.3462,                 1.6142,                0.57041,                  0.504,                0.51626,                0.29997,                 1.5484,                 1.6868,                 1.8934,               0.001307,               0.001307,               0.001307
                    108,                 1.2473,                 1.3356,                 1.5993,                0.62885,                0.53141,                 0.5516,                0.32545,                 1.5582,                 1.5608,                 1.9072,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.2383,                 1.3535,                 1.6037,                0.65721,                0.50785,                0.55461,                0.32456,                 1.5867,                 1.5414,                 1.9336,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.2363,                 1.3182,                 1.6039,                0.56205,                0.52094,                0.52446,                0.32114,                 1.5495,                 1.5699,                 1.9285,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.2681,                 1.3478,                 1.6175,                0.54033,                0.52618,                0.51954,                0.30693,                 1.5467,                 1.5744,                 1.9215,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.2407,                 1.3433,                 1.6101,                0.67823,                0.49215,                0.54191,                0.32924,                 1.5223,                 1.5777,                 1.8942,               0.001274,               0.001274,               0.001274
                    113,                 1.2513,                 1.3202,                 1.6014,                 0.5963,                0.51047,                0.53005,                0.29989,                 1.5649,                 1.5836,                 1.9514,              0.0012674,              0.0012674,              0.0012674
